year	prov_resid	sexo	estud_gr	edad_gr	tocup
1996	1	1	1	1	0.0
1996	1	1	1	2	68.2
1996	1	1	1	3	79.3
1996	1	1	1	4	67.3
1996	1	1	1	5	91.7
1996	1	1	1	6	85.9
1996	1	1	1	7	38.0
1996	1	1	1	8	0.2
1996	1	1	1	99	48.8
1996	1	1	2	1	7.1
1996	1	1	2	2	47.4
1996	1	1	2	3	77.9
1996	1	1	2	4	90.8
1996	1	1	2	5	88.7
1996	1	1	2	6	93.3
1996	1	1	2	7	56.0
1996	1	1	2	8	0.0
1996	1	1	2	99	65.5
1996	1	1	3	1	0.0
1996	1	1	3	2	17.1
1996	1	1	3	3	53.7
1996	1	1	3	4	90.6
1996	1	1	3	5	94.9
1996	1	1	3	6	98.4
1996	1	1	3	7	80.6
1996	1	1	3	8	0.0
1996	1	1	3	99	74.4
1996	1	1	99	1	6.8
1996	1	1	99	2	44.3
1996	1	1	99	3	75.2
1996	1	1	99	4	87.9
1996	1	1	99	5	90.8
1996	1	1	99	6	89.8
1996	1	1	99	7	43.0
1996	1	1	99	8	0.2
1996	1	1	99	99	59.8
1996	1	6	1	1	8.3
1996	1	6	1	2	34.6
1996	1	6	1	3	6.2
1996	1	6	1	4	66.9
1996	1	6	1	5	49.3
1996	1	6	1	6	26.8
1996	1	6	1	7	14.1
1996	1	6	1	8	0.5
1996	1	6	1	99	19.6
1996	1	6	2	1	5.2
1996	1	6	2	2	38.7
1996	1	6	2	3	62.9
1996	1	6	2	4	48.4
1996	1	6	2	5	45.2
1996	1	6	2	6	40.2
1996	1	6	2	7	35.8
1996	1	6	2	8	0.0
1996	1	6	2	99	39.8
1996	1	6	3	1	0.0
1996	1	6	3	2	25.5
1996	1	6	3	3	60.7
1996	1	6	3	4	76.4
1996	1	6	3	5	85.8
1996	1	6	3	6	90.6
1996	1	6	3	7	69.9
1996	1	6	3	8	0.0
1996	1	6	3	99	64.6
1996	1	6	99	1	5.3
1996	1	6	99	2	35.5
1996	1	6	99	3	59.9
1996	1	6	99	4	58.5
1996	1	6	99	5	53.1
1996	1	6	99	6	35.3
1996	1	6	99	7	19.2
1996	1	6	99	8	0.4
1996	1	6	99	99	34.0
1996	1	99	1	1	3.8
1996	1	99	1	2	54.3
1996	1	99	1	3	60.3
1996	1	99	1	4	67.1
1996	1	99	1	5	69.3
1996	1	99	1	6	53.7
1996	1	99	1	7	25.7
1996	1	99	1	8	0.4
1996	1	99	1	99	33.4
1996	1	99	2	1	6.2
1996	1	99	2	2	43.4
1996	1	99	2	3	71.2
1996	1	99	2	4	71.5
1996	1	99	2	5	67.7
1996	1	99	2	6	74.9
1996	1	99	2	7	47.5
1996	1	99	2	8	0.0
1996	1	99	2	99	54.0
1996	1	99	3	1	0.0
1996	1	99	3	2	22.1
1996	1	99	3	3	58.6
1996	1	99	3	4	81.9
1996	1	99	3	5	90.8
1996	1	99	3	6	94.8
1996	1	99	3	7	75.5
1996	1	99	3	8	0.0
1996	1	99	3	99	68.9
1996	1	99	99	1	6.1
1996	1	99	99	2	40.0
1996	1	99	99	3	67.7
1996	1	99	99	4	73.4
1996	1	99	99	5	72.2
1996	1	99	99	6	63.7
1996	1	99	99	7	31.1
1996	1	99	99	8	0.3
1996	1	99	99	99	47.0
1996	2	1	1	1	24.4
1996	2	1	1	2	45.0
1996	2	1	1	3	64.7
1996	2	1	1	4	71.5
1996	2	1	1	5	70.9
1996	2	1	1	6	66.1
1996	2	1	1	7	45.5
1996	2	1	1	8	1.4
1996	2	1	1	99	39.1
1996	2	1	2	1	21.6
1996	2	1	2	2	45.2
1996	2	1	2	3	74.9
1996	2	1	2	4	88.9
1996	2	1	2	5	85.9
1996	2	1	2	6	87.8
1996	2	1	2	7	78.5
1996	2	1	2	8	0.0
1996	2	1	2	99	65.5
1996	2	1	3	2	16.5
1996	2	1	3	3	48.1
1996	2	1	3	4	94.0
1996	2	1	3	5	96.9
1996	2	1	3	6	100.0
1996	2	1	3	7	88.5
1996	2	1	3	8	0.0
1996	2	1	3	99	72.5
1996	2	1	99	1	22.4
1996	2	1	99	2	42.7
1996	2	1	99	3	69.8
1996	2	1	99	4	84.0
1996	2	1	99	5	82.0
1996	2	1	99	6	73.9
1996	2	1	99	7	50.1
1996	2	1	99	8	1.3
1996	2	1	99	99	51.9
1996	2	6	1	1	27.0
1996	2	6	1	2	16.0
1996	2	6	1	3	13.5
1996	2	6	1	4	43.1
1996	2	6	1	5	14.0
1996	2	6	1	6	20.6
1996	2	6	1	7	9.1
1996	2	6	1	8	0.6
1996	2	6	1	99	9.8
1996	2	6	2	1	14.1
1996	2	6	2	2	41.2
1996	2	6	2	3	38.6
1996	2	6	2	4	23.5
1996	2	6	2	5	36.8
1996	2	6	2	6	32.8
1996	2	6	2	7	59.5
1996	2	6	2	8	38.7
1996	2	6	2	99	31.9
1996	2	6	3	2	44.0
1996	2	6	3	3	57.7
1996	2	6	3	4	80.5
1996	2	6	3	5	81.2
1996	2	6	3	6	78.1
1996	2	6	3	7	50.0
1996	2	6	3	8	0.0
1996	2	6	3	99	64.2
1996	2	6	99	1	15.9
1996	2	6	99	2	38.5
1996	2	6	99	3	38.1
1996	2	6	99	4	36.0
1996	2	6	99	5	34.6
1996	2	6	99	6	29.0
1996	2	6	99	7	12.4
1996	2	6	99	8	1.0
1996	2	6	99	99	22.2
1996	2	99	1	1	25.2
1996	2	99	1	2	37.1
1996	2	99	1	3	49.4
1996	2	99	1	4	59.0
1996	2	99	1	5	42.1
1996	2	99	1	6	43.1
1996	2	99	1	7	26.0
1996	2	99	1	8	0.9
1996	2	99	1	99	24.0
1996	2	99	2	1	17.9
1996	2	99	2	2	43.3
1996	2	99	2	3	56.6
1996	2	99	2	4	58.0
1996	2	99	2	5	64.6
1996	2	99	2	6	67.9
1996	2	99	2	7	73.0
1996	2	99	2	8	6.7
1996	2	99	2	99	50.0
1996	2	99	3	2	31.2
1996	2	99	3	3	54.1
1996	2	99	3	4	85.3
1996	2	99	3	5	88.6
1996	2	99	3	6	88.9
1996	2	99	3	7	68.4
1996	2	99	3	8	0.0
1996	2	99	3	99	67.9
1996	2	99	99	1	19.5
