year	sexo	estud_gr	edad_gr	min_t	p20_t	p40_t	p60_t	p80_t	max_t	min_t2	p20_t2	p40_t2	p60_t2	p80_t2	max_t2
1996	1	1	1	0	17	21	28	36	61	0	35	45	54	61	89
1996	1	1	2	18	41	52	61	71	86	60	78	83	88	92	100
1996	1	1	3	14	48	57	66	76	95	57	83	88	90	94	100
1996	1	1	4	37	56	70	75	82	93	68	87	90	93	97	100
1996	1	1	5	37	70	76	83	87	93	71	90	92	94	95	98
1996	1	1	6	58	68	75	80	86	92	77	84	87	90	92	96
1996	1	1	7	31	39	46	51	56	68	35	48	53	57	62	73
1996	1	1	8	0	1	1	2	2	16	0	1	1	2	2	16
1996	1	1	99	31	39	43	46	48	51	41	47	53	55	56	64
1996	1	2	1	5	10	13	16	19	30	11	17	22	26	31	41
1996	1	2	2	30	37	41	47	52	66	47	57	62	65	69	78
1996	1	2	3	54	65	73	77	83	93	80	89	92	93	95	99
1996	1	2	4	62	78	83	87	91	97	89	95	96	98	99	100
1996	1	2	5	79	83	86	89	94	98	89	95	96	98	99	100
1996	1	2	6	68	84	86	88	93	100	80	91	94	96	97	100
1996	1	2	7	34	49	54	61	71	90	43	53	59	68	77	91
1996	1	2	8	0	0	1	4	6	13	0	0	1	4	7	13
1996	1	2	99	48	56	59	63	67	75	65	71	72	75	77	81
1996	1	3	1	0	0	0	0	0	100	0	0	0	0	28	100
1996	1	3	2	0	8	12	16	23	39	2	23	29	36	48	71
1996	1	3	3	16	43	48	60	63	86	49	66	73	77	82	96
1996	1	3	4	41	79	83	87	93	100	80	93	95	98	100	100
1996	1	3	5	82	93	95	97	99	100	93	97	99	100	100	100
1996	1	3	6	89	92	95	98	100	100	90	97	99	100	100	100
1996	1	3	7	39	60	71	79	85	94	39	66	75	80	88	95
1996	1	3	8	0	0	7	12	20	36	0	0	7	12	20	36
1996	1	3	99	53	66	69	72	74	79	69	76	78	80	82	88
1996	1	99	1	5	11	14	17	21	30	11	20	27	30	33	43
1996	1	99	2	25	35	41	46	51	61	50	60	62	65	69	74
1996	1	99	3	49	59	67	73	77	84	80	86	88	90	92	94
1996	1	99	4	59	73	79	84	89	95	87	94	95	96	97	99
1996	1	99	5	72	79	83	88	91	96	91	93	94	96	97	99
1996	1	99	6	68	74	80	84	88	93	82	88	90	92	94	96
1996	1	99	7	34	43	50	53	59	68	38	51	56	59	64	71
1996	1	99	8	0	1	2	2	3	16	0	1	2	2	3	16
1996	1	99	99	44	49	53	56	58	63	53	61	64	65	67	70
1996	6	1	1	0	4	12	20	30	58	0	26	33	43	56	79
1996	6	1	2	0	19	29	35	45	68	0	50	64	70	77	100
1996	6	1	3	0	13	21	28	39	70	17	32	46	54	59	85
1996	6	1	4	7	18	25	29	40	70	18	35	43	49	57	83
1996	6	1	5	14	23	30	33	40	65	22	36	42	47	52	73
1996	6	1	6	11	20	22	28	33	61	19	26	31	34	39	66
1996	6	1	7	4	10	13	15	20	54	4	13	15	17	22	56
1996	6	1	8	0	0	1	1	1	9	0	0	1	1	1	9
1996	6	1	99	7	12	13	15	19	34	10	16	18	21	25	37
1996	6	2	1	1	4	6	8	12	19	6	12	16	21	26	37
1996	6	2	2	14	24	26	30	35	51	36	46	52	56	61	71
1996	6	2	3	23	37	43	46	55	70	47	64	69	73	77	84
1996	6	2	4	24	34	38	42	49	71	37	54	59	62	67	81
1996	6	2	5	21	37	42	45	50	65	35	52	58	62	66	79
1996	6	2	6	20	30	35	41	46	60	32	38	44	50	56	74
1996	6	2	7	7	15	20	26	36	100	7	15	23	31	41	100
1996	6	2	8	0	0	0	2	5	39	0	0	0	2	5	39
1996	6	2	99	20	27	30	33	36	52	39	47	48	52	53	64
1996	6	3	1	0	0	0	0	0	33	0	0	0	0	61	100
1996	6	3	2	0	11	18	23	30	49	16	43	48	53	57	85
1996	6	3	3	27	41	47	55	61	76	56	74	79	84	88	96
1996	6	3	4	43	61	68	76	81	88	75	84	86	89	92	100
1996	6	3	5	57	73	79	82	86	95	73	83	86	90	93	99
1996	6	3	6	34	70	74	84	91	100	37	73	81	86	91	100
1996	6	3	7	0	39	50	57	65	94	0	47	55	59	67	94
1996	6	3	8	0	0	0	2	9	30	0	0	0	2	9	30
1996	6	3	99	42	52	56	60	63	78	60	72	74	76	77	88
1996	6	99	1	1	4	7	10	13	19	7	14	17	22	28	39
1996	6	99	2	14	23	25	28	33	51	37	47	52	55	60	70
1996	6	99	3	25	35	40	45	54	67	56	63	68	71	77	83
