year	sexo	estud_gr	edad_gr	min_t	p20_t	p40_t	p60_t	p80_t	max_t
1996	1	1	1	0.0	16.6	21.1	27.7	36.1	60.9
1996	1	1	2	17.6	40.7	52.1	60.6	70.5	85.5
1996	1	1	3	13.9	48.1	56.9	66.0	75.8	94.6
1996	1	1	4	36.7	56.2	69.9	74.5	82.4	93.1
1996	1	1	5	36.8	69.5	76.0	82.8	87.3	93.3
1996	1	1	6	58.2	67.9	74.8	80.1	85.9	92.1
1996	1	1	7	31.1	38.6	45.5	51.4	55.5	68.4
1996	1	1	8	0.2	1.0	1.3	1.8	2.4	16.1
1996	1	1	99	31.3	39.1	42.7	46.4	48.4	51.1
1996	1	2	1	4.7	10.1	12.6	15.9	19.4	30.2
1996	1	2	2	29.7	36.6	41.1	47.4	52.3	66.1
1996	1	2	3	54.4	65.4	72.7	77.0	82.9	92.6
1996	1	2	4	62.4	78.4	82.8	86.9	91.2	97.0
1996	1	2	5	78.7	83.2	85.5	89.2	93.7	98.0
1996	1	2	6	68.3	83.7	86.2	87.8	92.9	100.0
1996	1	2	7	34.1	48.5	54.0	60.8	71.4	90.4
1996	1	2	8	0.0	0.0	1.3	3.6	6.2	13.0
1996	1	2	99	47.5	55.9	59.1	63.4	67.4	75.3
1996	1	3	1	0.0	0.0	0.0	0.0	0.0	100.0
1996	1	3	2	0.0	8.4	12.1	16.1	22.8	38.7
1996	1	3	3	16.1	43.3	48.3	59.7	62.7	85.5
1996	1	3	4	41.2	79.1	83.3	87.4	93.0	100.0
1996	1	3	5	81.5	92.6	94.9	96.9	99.4	100.0
1996	1	3	6	88.8	92.3	95.2	97.8	100.0	100.0
1996	1	3	7	39.2	59.8	71.3	78.6	84.6	93.5
1996	1	3	8	0.0	0.0	7.0	11.9	20.1	36.3
1996	1	3	99	53.4	66.2	69.2	72.2	74.4	78.5
1996	1	99	1	4.8	11.0	13.8	17.0	20.9	29.7
1996	1	99	2	24.8	35.2	41.3	46.3	50.7	61.4
1996	1	99	3	49.4	58.8	67.4	72.9	76.7	83.8
1996	1	99	4	59.3	73.0	79.4	84.0	89.1	94.7
1996	1	99	5	72.1	78.8	82.9	87.7	91.1	95.8
1996	1	99	6	67.5	73.9	79.6	83.6	87.7	92.7
1996	1	99	7	33.9	43.0	50.1	53.4	58.7	67.5
1996	1	99	8	0.2	1.3	1.7	2.2	3.1	16.1
1996	1	99	99	43.6	49.3	53.2	55.5	57.6	62.6
1996	6	1	1	0.0	3.6	12.1	20.2	30.0	58.1
1996	6	1	2	0.0	19.2	29.4	34.6	45.1	68.0
1996	6	1	3	0.0	13.1	21.4	28.2	39.0	70.1
1996	6	1	4	6.9	17.8	24.6	29.1	39.6	70.1
1996	6	1	5	13.9	23.2	30.3	33.4	40.0	64.5
1996	6	1	6	11.0	20.3	21.8	27.8	33.4	60.9
1996	6	1	7	4.0	10.0	12.5	15.1	19.6	54.4
1996	6	1	8	0.0	0.4	0.6	0.9	1.3	9.4
1996	6	1	99	7.3	11.5	13.0	14.8	18.5	34.1
1996	6	2	1	0.5	3.7	6.0	8.1	12.3	18.5
1996	6	2	2	13.9	23.7	26.4	29.8	34.6	51.0
1996	6	2	3	22.7	37.0	42.7	46.3	55.3	69.6
1996	6	2	4	23.5	33.7	38.2	41.8	49.1	70.7
1996	6	2	5	21.4	36.7	42.2	45.2	50.4	65.1
1996	6	2	6	20.1	30.2	35.0	40.8	46.3	59.8
1996	6	2	7	6.5	14.5	20.3	26.3	36.1	100.0
1996	6	2	8	0.0	0.0	0.0	1.8	4.7	38.7
1996	6	2	99	20.0	27.3	30.4	33.3	36.4	52.0
1996	6	3	1	0.0	0.0	0.0	0.0	0.0	32.6
1996	6	3	2	0.0	10.5	18.4	23.0	30.4	49.4
1996	6	3	3	27.1	40.7	47.2	54.5	60.7	75.7
1996	6	3	4	43.4	60.8	67.7	76.2	80.5	87.7
1996	6	3	5	56.8	73.4	79.2	81.6	85.9	94.8
1996	6	3	6	34.1	69.9	74.1	84.4	90.5	100.0
1996	6	3	7	0.0	38.5	50.0	56.9	64.7	94.1
1996	6	3	8	0.0	0.0	0.0	1.8	8.9	30.1
1996	6	3	99	42.3	51.6	56.0	59.8	63.0	77.5
1996	6	99	1	1.2	4.4	6.9	9.6	12.6	19.3
1996	6	99	2	14.4	23.2	25.0	28.3	33.0	50.7
1996	6	99	3	25.2	35.3	39.7	45.1	53.9	66.9
1996	6	99	4	26.7	35.9	41.1	45.5	53.0	72.9
1996	6	99	5	25.3	35.9	41.0	45.8	50.8	61.9
1996	6	99	6	16.0	25.7	29.9	35.2	38.4	62.0
1996	6	99	7	6.4	12.5	14.6	18.2	21.7	53.4
1996	6	99	8	0.0	0.4	0.7	1.0	1.6	9.4
1996	6	99	99	16.4	21.0	23.4	26.7	29.5	39.9
1996	99	1	1	0.0	12.3	20.2	23.7	30.9	56.6
1996	99	1	2	13.7	33.1	44.9	51.9	56.6	73.1
1996	99	1	3	7.2	37.1	44.9	49.4	57.5	63.4
1996	99	1	4	24.8	42.9	48.3	54.7	64.0	77.9
1996	99	1	5	34.5	47.3	52.7	57.4	63.2	74.3
1996	99	1	6	35.4	43.1	48.0	53.2	58.2	68.9
1996	99	1	7	19.1	25.2	28.6	31.8	35.3	59.2
1996	99	1	8	0.1	0.7	0.9	1.2	1.8	11.9
1996	99	1	99	19.4	24.4	27.3	29.6	31.2	41.0
1996	99	2	1	3.2	7.6	8.6	11.7	16.6	21.6
1996	99	2	2	24.2	30.7	34.6	38.7	44.6	59.5
1996	99	2	3	43.0	49.9	58.1	62.7	70.3	79.5
1996	99	2	4	46.5	57.4	61.9	65.1	70.4	86.2
1996	99	2	5	56.5	63.3	66.0	68.7	70.8	79.1
1996	99	2	6	53.9	62.3	64.4	67.0	71.6	85.3
1996	99	2	7	26.8	39.2	42.9	47.5	53.1	73.0
1996	99	2	8	0.0	0.0	1.5	3.2	5.5	17.9
1996	99	2	99	34.2	42.7	46.4	49.2	53.6	62.0
1996	99	3	1	0.0	0.0	0.0	0.0	0.0	100.0
1996	99	3	2	3.6	10.2	16.5	19.7	28.1	46.4
1996	99	3	3	27.3	43.8	49.0	54.5	59.5	77.9
1996	99	3	4	50.4	71.1	75.3	79.7	82.6	90.0
1996	99	3	5	77.0	84.2	86.3	88.8	91.3	94.4
1996	99	3	6	55.8	83.1	88.9	90.6	92.3	100.0
1996	99	3	7	36.1	53.8	64.3	68.9	76.6	88.0
1996	99	3	8	0.0	1.6	5.3	8.4	13.1	24.1
1996	99	3	99	52.8	59.3	62.9	65.1	67.9	77.3
1996	99	99	1	3.2	7.9	10.1	13.4	17.1	23.5
1996	99	99	2	22.7	29.9	33.5	37.7	41.5	56.2
1996	99	99	3	39.1	46.4	54.6	58.7	66.0	74.1
1996	99	99	4	44.7	57.7	61.0	64.7	70.9	83.9
1996	99	99	5	49.1	59.5	62.9	66.3	70.6	77.0
1996	99	99	6	42.9	51.6	56.0	60.0	63.6	72.3
1996	99	99	7	21.3	27.6	31.9	35.7	37.7	58.3
1996	99	99	8	0.1	0.9	1.1	1.6	2.0	12.0
1996	99	99	99	30.2	35.4	37.6	40.9	42.4	51.1
1997	1	1	1	0.0	13.0	19.8	29.1	34.4	67.6
1997	1	1	2	21.7	46.7	57.9	62.8	73.6	90.9
