year	prov_resid	sexo	estud_gr	edad_gr	tparo
1996	1	1	1	1	100.0
1996	1	1	1	2	20.3
1996	1	1	1	3	11.1
1996	1	1	1	4	27.3
1996	1	1	1	5	5.9
1996	1	1	1	6	4.9
1996	1	1	1	7	3.6
1996	1	1	1	8	0.0
1996	1	1	1	99	7.0
1996	1	1	2	1	49.5
1996	1	1	2	2	30.5
1996	1	1	2	3	16.3
1996	1	1	2	4	8.8
1996	1	1	2	5	9.1
1996	1	1	2	6	2.6
1996	1	1	2	7	0.0
1996	1	1	2	8	0.0
1996	1	1	2	99	13.7
1996	1	1	3	1	0.0
1996	1	1	3	2	44.4
1996	1	1	3	3	34.5
1996	1	1	3	4	4.1
1996	1	1	3	5	1.8
1996	1	1	3	6	1.6
1996	1	1	3	7	0.0
1996	1	1	3	8	0.0
1996	1	1	3	99	8.4
1996	1	1	99	1	51.7
1996	1	1	99	2	30.7
1996	1	1	99	3	17.7
1996	1	1	99	4	10.2
1996	1	1	99	5	6.8
1996	1	1	99	6	3.7
1996	1	1	99	7	2.6
1996	1	1	99	8	0.0
1996	1	1	99	99	11.0
1996	1	6	1	1	56.9
1996	1	6	1	2	33.8
1996	1	6	1	3	89.4
1996	1	6	1	4	18.7
1996	1	6	1	5	17.7
1996	1	6	1	6	20.3
1996	1	6	1	7	23.7
1996	1	6	1	8	0.0
1996	1	6	1	99	21.7
1996	1	6	2	1	49.5
1996	1	6	2	2	26.1
1996	1	6	2	3	22.7
1996	1	6	2	4	32.3
1996	1	6	2	5	37.6
1996	1	6	2	6	14.6
1996	1	6	2	7	5.8
1996	1	6	2	8	0.0
1996	1	6	2	99	29.0
1996	1	6	3	1	0.0
1996	1	6	3	2	48.0
1996	1	6	3	3	30.7
1996	1	6	3	4	12.0
1996	1	6	3	5	11.5
1996	1	6	3	6	0.0
1996	1	6	3	7	0.0
1996	1	6	3	8	0.0
1996	1	6	3	99	18.5
1996	1	6	99	1	50.0
1996	1	6	99	2	31.2
1996	1	6	99	3	27.3
1996	1	6	99	4	24.1
1996	1	6	99	5	26.0
1996	1	6	99	6	15.0
1996	1	6	99	7	17.1
1996	1	6	99	8	0.0
1996	1	6	99	99	24.7
1996	1	99	1	1	79.3
1996	1	99	1	2	24.3
1996	1	99	1	3	25.7
1996	1	99	1	4	23.3
1996	1	99	1	5	10.7
1996	1	99	1	6	9.7
1996	1	99	1	7	10.3
1996	1	99	1	8	0.0
1996	1	99	1	99	12.1
1996	1	99	2	1	49.5
1996	1	99	2	2	28.8
1996	1	99	2	3	19.0
1996	1	99	2	4	17.6
1996	1	99	2	5	20.8
1996	1	99	2	6	5.1
1996	1	99	2	7	1.9
1996	1	99	2	8	0.0
1996	1	99	2	99	19.5
1996	1	99	3	1	0.0
1996	1	99	3	2	46.9
1996	1	99	3	3	31.8
1996	1	99	3	4	8.8
1996	1	99	3	5	6.2
1996	1	99	3	6	0.9
1996	1	99	3	7	0.0
1996	1	99	3	8	0.0
1996	1	99	3	99	14.0
1996	1	99	99	1	51.0
1996	1	99	99	2	30.9
1996	1	99	99	3	22.1
1996	1	99	99	4	16.2
1996	1	99	99	5	14.8
1996	1	99	99	6	7.0
1996	1	99	99	7	7.6
1996	1	99	99	8	0.0
