year	sexo	estud_gr	edad_gr	min_t	p20_t	p40_t	p60_t	p80_t	max_t
1996	1	1	1	0	24	36	51	64	100
1996	1	1	2	12	19	29	36	52	79
1996	1	1	3	3	20	24	34	45	81
1996	1	1	4	0	11	17	23	34	55
1996	1	1	5	2	7	12	16	23	48
1996	1	1	6	1	5	9	14	21	29
1996	1	1	7	2	6	10	11	17	31
1996	1	1	8	0	0	0	0	0	13
1996	1	1	99	4	8	12	17	26	43
1996	1	2	1	12	30	36	42	50	64
1996	1	2	2	11	17	26	32	37	52
1996	1	2	3	2	12	16	20	28	38
1996	1	2	4	3	7	10	14	19	31
1996	1	2	5	2	5	8	10	13	18
1996	1	2	6	0	4	6	8	10	21
1996	1	2	7	0	0	1	7	13	37
1996	1	2	8	0	0	0	0	0	100
1996	1	2	99	6	11	14	18	21	33
1996	1	3	1	0	0	0	0	0	100
1996	1	3	2	0	31	44	58	76	100
1996	1	3	3	4	18	24	32	40	75
1996	1	3	4	0	5	8	13	16	51
1996	1	3	5	0	0	2	4	6	12
1996	1	3	6	0	0	0	3	5	11
1996	1	3	7	0	0	0	1	5	21
1996	1	3	8	0	0	0	0	0	14
1996	1	3	99	5	8	9	12	14	25
1996	1	99	1	12	31	38	45	52	63
1996	1	99	2	14	21	29	33	39	61
1996	1	99	3	6	14	19	23	33	41
1996	1	99	4	4	8	12	15	21	34
1996	1	99	5	2	6	9	12	15	22
1996	1	99	6	2	5	8	11	16	23
1996	1	99	7	1	6	9	11	15	26
1996	1	99	8	0	0	0	0	2	7
1996	1	99	99	6	10	13	17	22	31
1996	6	1	1	0	27	49	61	80	100
1996	6	1	2	0	31	40	51	64	100
1996	6	1	3	0	24	39	52	62	100
1996	6	1	4	0	19	28	38	53	84
1996	6	1	5	9	19	26	29	36	63
1996	6	1	6	3	12	17	23	28	54
1996	6	1	7	0	4	7	14	22	44
1996	6	1	8	0	0	0	0	0	29
1996	6	1	99	7	15	21	26	37	56
1996	6	2	1	32	49	56	62	72	94
1996	6	2	2	20	36	41	48	55	68
1996	6	2	3	13	26	30	38	46	60
1996	6	2	4	6	25	31	35	39	52
1996	6	2	5	11	18	25	28	34	43
1996	6	2	6	0	8	15	22	24	58
1996	6	2	7	0	0	2	9	19	42
1996	6	2	8	0	0	0	0	0	100
1996	6	2	99	16	29	33	38	42	58
1996	6	3	1	0	0	0	0	100	100
1996	6	3	2	20	47	53	62	72	100
1996	6	3	3	11	26	35	39	44	62
1996	6	3	4	6	12	16	21	29	47
1996	6	3	5	2	6	8	11	15	37
1996	6	3	6	0	0	0	4	7	25
1996	6	3	7	0	0	0	0	8	35
1996	6	3	8	0	0	0	0	0	0
1996	6	3	99	7	17	21	24	27	35
1996	6	99	1	32	47	55	62	71	90
1996	6	99	2	24	40	44	51	55	67
1996	6	99	3	15	28	33	40	46	59
1996	6	99	4	9	23	28	32	38	49
1996	6	99	5	11	17	21	24	28	42
1996	6	99	6	4	11	14	18	24	47
1996	6	99	7	2	4	6	14	19	40
1996	6	99	8	0	0	0	0	0	29
1996	6	99	99	14	22	27	31	36	53
1996	99	1	1	0	36	47	53	65	100
1996	99	1	2	13	27	33	42	54	80
1996	99	1	3	12	24	30	35	46	85
1996	99	1	4	2	14	20	28	37	57
1996	99	1	5	5	12	16	21	30	38
1996	99	1	6	2	9	12	16	23	32
1996	99	1	7	2	7	10	12	17	33
1996	99	1	8	0	0	0	0	2	14
1996	99	1	99	6	12	14	19	29	43
1996	99	2	1	21	39	46	50	56	71
1996	99	2	2	16	27	33	39	44	59
1996	99	2	3	8	17	23	28	35	47
1996	99	2	4	4	13	18	22	25	38
1996	99	2	5	6	10	14	17	19	25
1996	99	2	6	0	6	9	11	16	23
1996	99	2	7	0	2	5	9	13	26
1996	99	2	8	0	0	0	0	0	79
1996	99	2	99	10	18	22	25	28	43
1996	99	3	1	0	0	0	0	100	100
1996	99	3	2	18	44	51	60	73	88
1996	99	3	3	10	26	32	34	41	62
1996	99	3	4	4	11	13	17	21	43
1996	99	3	5	2	4	6	6	9	15
1996	99	3	6	0	1	2	3	6	14
1996	99	3	7	0	0	0	3	7	12
1996	99	3	8	0	0	0	0	0	10
1996	99	3	99	6	13	16	17	20	29
1996	99	99	1	20	39	46	52	56	75
1996	99	99	2	19	30	35	41	47	62
1996	99	99	3	12	22	25	30	39	48
1996	99	99	4	6	13	18	22	26	39
1996	99	99	5	6	12	14	16	18	28
1996	99	99	6	3	8	10	13	18	27
1996	99	99	7	2	6	8	11	13	28
1996	99	99	8	0	0	0	0	3	13
1996	99	99	99	9	14	19	22	27	39
1997	1	1	1	0	28	41	51	64	100
1997	1	1	2	0	15	26	36	44	70
1997	1	1	3	0	9	21	28	37	69
1997	1	1	4	0	8	14	21	29	47
1997	1	1	5	0	8	11	15	19	35
1997	1	1	6	1	6	8	12	17	28
1997	1	1	7	0	6	9	11	15	27
1997	1	1	8	0	0	0	0	0	39
1997	1	1	99	2	7	11	15	23	36
1997	1	2	1	11	27	35	46	49	69
1997	1	2	2	9	16	22	29	37	45
1997	1	2	3	5	10	15	18	25	40
1997	1	2	4	1	8	12	14	17	30
1997	1	2	5	2	5	8	11	14	20
1997	1	2	6	0	4	6	8	11	19
1997	1	2	7	0	0	3	9	14	28
1997	1	2	8	0	0	0	0	0	51
1997	1	2	99	6	9	14	17	19	30
1997	1	3	1	0	0	0	0	0	100
1997	1	3	2	0	31	39	50	69	100
1997	1	3	3	0	15	25	33	37	89
1997	1	3	4	0	6	10	13	20	42
1997	1	3	5	0	1	2	4	6	11
1997	1	3	6	0	0	0	2	4	15
1997	1	3	7	0	0	0	2	5	20
1997	1	3	8	0	0	0	0	0	11
1997	1	3	99	3	7	9	11	14	30
1997	1	99	1	9	25	38	46	49	77
1997	1	99	2	9	17	25	30	38	48
1997	1	99	3	7	14	17	20	26	41
1997	1	99	4	4	8	12	15	19	36
1997	1	99	5	2	6	9	11	14	22
1997	1	99	6	1	5	7	9	14	20
1997	1	99	7	1	6	8	11	14	25
1997	1	99	8	0	0	0	0	0	12
1997	1	99	99	5	9	13	15	19	30
1997	6	1	1	0	39	56	67	84	100
1997	6	1	2	0	24	36	45	54	100
1997	6	1	3	0	15	37	46	56	87
1997	6	1	4	0	20	33	48	55	87
1997	6	1	5	10	19	25	29	39	56
1997	6	1	6	4	11	17	22	25	53
1997	6	1	7	1	4	7	13	20	49
1997	6	1	8	0	0	0	0	6	30
1997	6	1	99	9	15	21	25	34	57
1997	6	2	1	18	42	52	60	69	87
1997	6	2	2	17	32	40	49	52	72
1997	6	2	3	13	23	32	36	44	57
1997	6	2	4	14	22	27	31	36	52
1997	6	2	5	10	20	24	28	36	66
1997	6	2	6	0	10	14	21	28	100
1997	6	2	7	0	0	0	13	20	35
1997	6	2	8	0	0	0	0	0	67
1997	6	2	99	16	26	29	35	42	54
1997	6	3	1	0	0	0	0	0	100
1997	6	3	2	14	33	51	59	66	92
1997	6	3	3	6	24	33	41	47	70
1997	6	3	4	2	11	15	21	28	43
1997	6	3	5	2	6	9	11	15	22
1997	6	3	6	0	0	2	5	9	24
